(R)-alpha-methylhistamine | Chemical
head and neck carcinoma | Disease
head and neck carcinomas | Disease
headache | Disease
headaches | Disease
hearing impairment | Disease
hearing loss | Disease
heart block | Disease
heart disease | Disease
heart diseases | Disease
heart failure | Disease
HEM | Disease
hematologic disturbances | Disease
hematologic syndrome | Disease
hematological malignancies | Disease
hematoma | Disease
hematomas | Disease
hematotoxicity | Disease
hematuria | Disease
hemicholinium-3 | Chemical
hemodilution | Disease
hemoglobinuria | Disease
hemolysis | Disease
hemolytic | Disease
hemolytic anemia | Disease
hemolytic uremic syndrome | Disease
hemolytic-uremic syndrome | Disease
hemorrhage | Disease
hemorrhage cystitis	Disease | D006470|D003556
hemorrhagic | Disease
hemorrhagic cystitis	Disease | D006470|D003556
hemorrhaging | Disease
Henoch-Schonlein nephritis | Disease
heparan sulphate | Chemical
heparin | Chemical
hepatic adverse effects | Disease
hepatic and renal dysfunctions	Disease | D008107|D007674
hepatic complication | Disease
hepatic damage | Disease
hepatic dysfunction | Disease
hepatic failure | Disease
hepatic impairment | Disease
hepatic injury | Disease
hepatitis | Disease
hepatitis B | Disease
hepatitis B infection | Disease
hepatitis B virus (HBV) infected | Disease
hepatitis B virus e antigen | Chemical
hepatitis B virus surface antigen | Chemical
hepatitis C | Disease
hepatitis E | Disease
hepatitis virus infection | Disease
hepatitis-B surface antigen | Chemical
hepatocellular carcinoma | Disease
hepatocellular carcinomas | Disease
hepatocellular injury | Disease
hepatomegaly | Disease
hepatorenal syndrome | Disease
hepatotoxic | Disease
hepatotoxicity | Disease
heroine | Chemical
hexafluorodiethyl ether | Chemical
hexamethonium | Chemical
hexamethonium chloride | Chemical
HFDE | Chemical
Hg | Chemical
hiccups | Disease
high-frequency hearing loss | Disease
Hip-His-Leu | Chemical
hippocampal injury | Disease
hirsutism | Disease
histamine | Chemical
HIT | Disease
HITT | Disease
HIV antibody-positive | Disease
HIV co-infection | Disease
HIV-infected | Disease
hoarding | Disease
hoarseness | Disease
HOE 140 | Chemical
Hoe-140 | Chemical
HT | Disease
human immunodeficiency virus (HIV) co-infection | Disease
human immunodeficiency virus (HIV)-infected | Disease
human immunodeficiency virus | Disease
human immunodeficiency virus infection | Disease
HUS | Disease
HVA | Chemical
hyaluronate | Chemical
hydralazine | Chemical
hydrochlorofluorocarbons | Chemical
hydrochlorothiazide-triamterene | Chemical
hydrocortisone | Chemical
Hydrocortisone acetate | Chemical
hydrogen cyanamide | Chemical
hydronephrosis | Disease
hydroxyl | Chemical
hyoscine | Chemical
hyperactive | Disease
hyperactivity | Disease
hyperalgesia | Disease
hyperammonemia | Disease
hyperbilirubinemia | Disease
hypercalcemia | Disease
hypercholesterolaemia | Disease
hypercholesterolemia | Disease
hyperCKaemia | Disease
hyperemia | Disease
hypereosinophilia | Disease
hyperhidrosis | Disease
hyperkalaemia | Disease
hyperkalemia | Disease
hyperkinesis | Disease
hyperkinetic | Disease
hyperlipidemia | Disease
hyperlocomotion | Disease
hyperparathyroidism | Disease
hyperphosphatemia | Disease
hyperprolactinemia | Disease
hyperprolactinemic | Disease
hypersalivation | Disease
hypersensitivity | Disease
hypersensitivity myocarditis | Disease
hypertension	Disease | D006973
hypertension | Disease
hypertensive | Disease
hyperthermia | Disease
hyperthyroidism | Disease
hypertrophy | Disease
hypoalbuminemia | Disease
hypocalcemia | Disease
hypogonadism | Disease
hypolocomotion | Disease
hypomania | Disease
hypomanic | Disease
hyponatremia | Disease
hypophosphatemia | Disease
hypoplastic left heart syndrome | Disease
hypoplastic lungs | Disease
hypotension | Disease
hypotensive | Disease
hypothalamic dysfunction | Disease
hypothermia | Disease
hypothyroid | Disease
hypothyroidism | Disease
hypoventilation | Disease
hypovolemia | Disease
hypoxaemia | Disease
hypoxemia | Disease
hypoxia | Disease
ibuprofen | Chemical
ICH | Disease
icterus | Disease
idiopathic dilated cardiomyopathy | Disease
idiopathic epilepsy | Disease
idiopathic Parkinson's disease | Disease
Idiopathic subjective tinnitus | Disease
Idraparinux | Chemical
IFN | Chemical
ifosfamide | Chemical
ifosfamide, vincristine, and dactinomycin | Chemical
IFX | Chemical
IgA nephropathy | Disease
IH636 grape seed proanthocyanidin extract | Chemical
imidazoline | Chemical
imipramine | Chemical
immunologic injury | Disease
impaired blood clotting | Disease
impaired consciousness | Disease
impaired heart function | Disease
impaired immediate free recall | Disease
impaired memory | Disease
impaired renal function | Disease
impaired social and emotional judgement processes | Disease
impaired word fluency, psychomotor speed and working memory | Disease
impairment of attention and memory | Disease
impairment of hepatic function | Disease
impairment of learning | Disease
impairment of learning and memory | Disease
impairment of ventricular function | Disease
impairments in learning and memory	Disease | D007859|D008569
impotence | Disease
inability to sleep | Disease
inappropriate antidiuretic hormone secretion | Disease
incomprehensible shouts | Disease
incontinence | Disease
increase in blood pressure | Disease
increase in heart rate and cardiac output | Disease
increase in locomotor activity | Disease
increase of external and skeletal variations | Disease
increased SBP | Disease
increases in blood pressure | Disease
increases in dural and cortical blood flow | Disease
increases in dural blood flow | Disease
indinavir | Chemical
indocyanine green | Chemical
indomethacin | Chemical
infarct | Disease
infarction | Disease
infarcts | Disease
Infarcts in substantia nigra pars reticulata | Disease
infection | Disease
infections | Disease
inferior colliculus lesion | Disease
inferior colliculus lesions | Disease
infertility | Disease
inflammation | Disease
inflammatory bowel disease | Disease
initiation induced by carcinogens | Disease
initiation of carcinogenic process | Disease
injury in the cortex | Disease
injury to the brain | Disease
intermittent claudication | Disease
interstitial fibrosis | Disease
interstitial nephritis | Disease
intestinal tumors | Disease
intra-Hisian block | Disease
intraarterial lesions | Disease
intracerebral hemorrhage | Disease
intracranial aneurysms | Disease
intracranial bleeding | Disease
intracranial hemorrhage | Disease
intracranial vascular disturbances | Disease
intrahepatic and extrahepatic cholestasis	Disease | D002780|D001651
intrahepatic cholestasis | Disease
intraoperative and postoperative bleeding	Disease | D016063|D019106
intrauterine growth retardation | Disease
intravascular coagulation | Disease
intraventricular conduction abnormalities | Disease
iodixanol | Chemical
iopamidol | Chemical
ipratropium | Chemical
ipratropium bromide | Chemical
iprindole | Chemical
Irbesartan | Chemical
iron | Chemical
irritability | Disease
ischaemia | Disease
ischaemic stroke | Disease
ischaemic strokes | Disease
ischemia | Disease
ischemic injury | Disease
ischemic stroke | Disease
ISO | Chemical
isoflurane | Chemical
isoniazid | Chemical
isoprenaline | Chemical
isoproterenol | Chemical
isoproterenols | Chemical
isosorbide dinitrate | Chemical
IST | Disease
itchiness | Disease
IVA | Chemical
jaundice | Disease
juvenile rheumatoid arthritis | Disease
K | Chemical
kainic acid | Chemical
kanamycin | Chemical
Kaposi's sarcoma | Disease
KCl | Chemical
ketamine | Chemical
Ketamine hydrochloride | Chemical
ketoconazole | Chemical
kidney damage | Disease
kidney disease | Disease
kidney diseases | Disease
kynurenine | Chemical
L-alpha-GFC | Chemical
L-alpha-glyceryl-phosphorylcholine | Chemical
L-alpha-glycerylphosphorylcholine | Chemical
l-arginine | Chemical
L-dopa | Chemical
L-NAME | Chemical
L1210 leukemia | Disease
LA | Chemical
labetalol | Chemical
lactate | Chemical
LAM | Chemical
lamivudin | Chemical
lamivudine | Chemical
lamotrigine | Chemical
Learning and memory deficits	Disease | D007859|D008569
learning impairment | Disease
left ventricular systolic and diastolic dysfunction | Disease
legs paralysis | Disease
leiomyosarcoma | Disease
lenalidomide | Chemical
leprosy | Disease
lethargy | Disease
leucovorin | Chemical
leukemia | Disease
leukemic infiltration | Disease
leukemoid reaction | Disease
leukoencephalopathy | Disease
leukopenia | Disease
leuprolide acetate | Chemical
LEV | Chemical
levetiracetam | Chemical
levodopa | Chemical
levodopa/carbidopa | Chemical
levofloxacin | Chemical
levonorgestrel | Chemical
LHRH-A | Chemical
Li | Chemical
LiCl | Chemical
LID | Disease
lidocaine | Chemical
LIDs | Disease
lignocaine | Chemical
lindane | Chemical
lipidemia | Disease
lipopolysaccharide | Chemical
lisinopril | Chemical
lithium | Chemical
lithium carbonate | Chemical
liver abscess | Disease
liver and kidney toxicity	Disease | D056486|D007674
liver damage | Disease
liver disease | Disease
Liver enlargement | Disease
liver failure | Disease
liver injury | Disease
liver mass | Disease
liver or kidney disease	Disease | D008107|D007674
locomotor hyperactivity | Disease
locomotor hypoactivity | Disease
long QT syndrome | Disease
loop diuretic | Chemical
lopinavir/ritonavir | Chemical
losartan | Chemical
loss of consciousness | Disease
loss of creativity | Disease
loss of pinprick sensation | Disease
loss of sensation | Disease
loss of vision | Disease
lovastatin | Chemical
low back and right leg pain	Disease | D017116|D010146
low sexual desire | Disease
lower extremity weakness | Disease
LR132 | Chemical
luminal | Chemical
lung toxicity | Disease
lupus | Disease
lupus erythematosus | Disease
lupus nephritis | Disease
lupus syndrome | Disease
LY274614 | Chemical
lymphadenitis | Disease
lymphadenopathy | Disease
lymphoblastic lymphoma | Disease
lymphomas | Disease
lymphoplasmacytic lymphoma | Disease
magnesium | Chemical
MAHA | Disease
major depression | Disease
malaria | Disease
malignancies | Disease
malignancy | Disease
malignant gliomas | Disease
malignant hypertension | Disease
Malignant Mesenchymal Tumor | Disease
malignant mesenchymal tumors | Disease
malignant tumor | Disease
malondialdehyde | Chemical
maltol | Chemical
maltolyl p-coumarate | Chemical
mania | Disease
manic | Disease
mannitol | Chemical
mantle cell lymphoma | Disease
MAO | Chemical
MAP | Chemical
masseter spasm | Disease
massive hepatic necrosis | Disease
massive hepatocellular necrosis | Disease
mazindol | Chemical
MDM | Disease
MDMA | Chemical
mecamylamine | Chemical
mefloquine | Chemical
melanoma | Disease
melphalan | Chemical
membranoproliferative glomerulopathy | Disease
memory and learning impairments	Disease | D008569|D007859
memory deficiency | Disease
memory deficit | Disease
memory deficits | Disease
memory dissociation | Disease
memory impaired | Disease
memory impairment | Disease
meningeal disease | Disease
meningeal leukemia | Disease
meningitis | Disease
mepivacaine | Chemical
mesenchymal tumors | Disease
mesna | Chemical
mesothelioma | Disease
metabolic abnormalities | Disease
metabolic acidosis | Disease
metamizol | Chemical
metamphetamine | Chemical
METH | Chemical
meth mouth | Disease
methadone | Chemical
methamphetamine | Chemical
methamphetamines | Chemical
methemoglobinemia | Disease
methionine | Chemical
methoctramine | Chemical
methotrexate | Chemical
methscopolamine | Chemical
methyl 6,7-dimethoxy-4-ethyl-B-carboline-3-carboxylate | Chemical
methyl beta-carboline-3-carboxylate | Chemical
methyl dopa | Chemical
methyldopa | Chemical
methylergonovine | Chemical
methylphenidate | Chemical
methylprednisolone | Chemical
methylxanthine | Chemical
methylxanthines | Chemical
metoclopramide | Chemical
metocurine | Chemical
metoprolol | Chemical
metrifonate | Chemical
metronidazole | Chemical
mexiletine | Chemical
Mexitil-Perlongets | Chemical
MFL | Chemical
MFL regimen | Chemical
Mg | Chemical
microangiopathic hemolytic anemia | Disease
microangiopathies | Disease
microphthalmos | Disease
midazolam | Chemical
Midazolam hydrochloride | Chemical
Midazolan | Chemical
migraine | Disease
migraineurs (without aura) | Disease
milk fever | Disease
minoxidil | Chemical
miosis | Disease
mipafox | Chemical
mitochondrial abnormalities | Disease
mitochondrial cytopathy | Disease
mitochondrial damage | Disease
mitochondrial disorders | Disease
mitochondrial dysfunction | Disease
mitochondrial impairment | Disease
mitochondrial toxicity | Disease
mitoxantrone | Chemical
mitral regurgitation | Disease
mitral valve prolapse | Disease
MK-486 | Chemical
MK-801 | Chemical
MK801 | Chemical
MMF | Chemical
modafinil | Chemical
molindone | Chemical
mood disorder | Disease
mood disorders | Disease
morning stiffness | Disease
morphine | Chemical
Morton's neuralgia | Disease
motor and sensory impairment | Disease
motor disability | Disease
motor neuropathy | Disease
movement abnormalities | Disease
movement disorder | Disease
MP | Disease
MPA | Chemical
MPEP | Chemical
MPTP | Chemical
MR | Disease
MTX | Chemical
mucositis | Disease
multi-organ failure | Disease
multiple myeloma | Disease
muscle contractions | Disease
muscle pain | Disease
muscle tear | Disease
muscle wastage | Disease
muscle weakness | Disease
muscular rigidity | Disease
musculoskeletal pain | Disease
myalgia | Disease
myalgias | Disease
myasthenia gravis | Disease
mycophenolate mofetil | Chemical
mydriasis | Disease
myelitis | Disease
myelo-optic neuropathy	Disease | D013118|D009901
myeloencephalopathy | Disease
myelopathy | Disease
myelosuppression | Disease
myelotoxicity | Disease
myocardial and kidney injury	Disease | D006331|D007674
myocardial cell injury | Disease
myocardial damage | Disease
myocardial dysfunction | Disease
myocardial infarction | Disease
myocardial infarctions | Disease
myocardial injury | Disease
myocardial ischemia | Disease
myocardial necrosis | Disease
myocardial stunning | Disease
myocardiopathy | Disease
myocarditis | Disease
myoclonic jerks | Disease
myoclonus | Disease
myoglobinuria | Disease
myonecrosis | Disease
myopathy | Disease
myotonia | Disease
myotonia congenita | Disease
MZ | Chemical
N  omercazole | Chemical
N-(2-propylpentanoyl)urea | Chemical
N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide | Chemical
N-acetylcysteine | Chemical
N-methyl-D-aspartate | Chemical
N-methyl-N-nitrosourea | Chemical
N-pyrimidinyl-2-phenoxyacetamide | Chemical
N-pyrimidinyl-2-phenoxyacetamides | Chemical
N, N'-diisopropylphosphorodiamidofluoridate | Chemical
N,N-dimethylpropranolol | Chemical
N(6)-cyclopentyl adenosine | Chemical
N(G)-nitro-L-arginine methyl ester | Chemical
na | Chemical
NaCl | Chemical
naloxone | Chemical
nalozone | Chemical
nausea | Disease
nausea, vomiting | Disease
NE | Chemical
necrosis | Disease
necrotic | Disease
necrotizing enterocolitis | Disease
nelarabine | Chemical
neoplasia | Disease
neoplasms | Disease
neostigmine | Chemical
nephritis | Disease
nephrolithiasis | Disease
nephropathy | Disease
nephrosclerosis | Disease
nephrosis | Disease
nephrotic | Disease
nephrotic syndrome | Disease
nephrotic syndromes | Disease
nephrotoxic | Disease
nephrotoxicity | Disease
nerve entrapment | Disease
neurocognitive defects | Disease
neurodegeneration | Disease
neurodevelopmental disorder | Disease
neurogenic hyperalgesia | Disease
Neuroinflammation | Disease
neurologic complications | Disease
neurologic deterioration | Disease
neurologic sequelae | Disease
Neurologic toxicity | Disease
neurological and cardiovascular toxicity	Disease | D020258|D002318
neurological and psychiatric disorders	Disease | D009422|D001523
neurological complications | Disease
neurological deficit | Disease
neurological deficits | Disease
neurological disorders | Disease
neurological disturbance | Disease
neurological sequelae | Disease
neurological toxicity | Disease
neuromuscular blockade | Disease
neuromuscular disease | Disease
neuromuscular disorders | Disease
neuronal damage | Disease
neuronal death | Disease
neuronal loss | Disease
neuropathic damage | Disease
neuropathic pain | Disease
neuropathies | Disease
neuropathological damages | Disease
neuropathy | Disease
neuropsychiatric symptoms | Disease
neurosensorial hearing loss | Disease
neurotensin | Chemical
neurotensin type-1 receptor antagonist | Chemical
neurotoxic | Disease
neurotoxicity | Disease
neutropenia | Disease
NG | Chemical
niacin | Chemical
niacinamide | Chemical
nicotine | Chemical
nifedipine | Chemical
nimodipine | Chemical
NIN | Disease
nitrazepam | Chemical
nitrendipine | Chemical
nitric oxide | Chemical
nitro-L-arginine methyl ester | Chemical
nitrofurantoins | Chemical
nitroglycerin | Chemical
nitrogranulogen | Chemical
nitroprusside | Chemical
nitrous oxide | Chemical
NMDA | Chemical
NO | Chemical
nociceptive muscle | Disease
nocturnal leg cramps | Disease
non-Hodgkin lymphomas | Disease
non-Hodgkin's lymphoma | Disease
non-small cell lung cancer | Disease
nonsmall cell lung carcinoma | Disease
noradrenaline | Chemical
norepinephrine | Chemical
normetanephrine | Chemical
norpethidine | Chemical
NRA0160 | Chemical
NSC 343499 | Chemical
NSCLC | Disease
nucleoside | Chemical
nucleotide | Chemical
numbness | Disease
nutritional deficiency | Disease
nystagmus | Disease
O2- | Chemical
obsessive compulsive disorder | Disease
obsessive-compulsive disorder | Disease
obsessive-compulsive-like behaviors | Disease
obstructive (P less than 0.05) and central apnoea	Disease | D020181|D020182
obstructive lung disease | Disease
OC | Chemical
OCD | Disease
octreotide | Chemical
Ocular and auditory toxicity	Disease | D014786|D006311
ocular and orbital toxicity	Disease | D005128|D009916
ocular hypotensive | Disease
ocular myasthenia | Disease
ocular pain | Disease
ocular toxicity | Disease
olanzapine | Chemical
oligodeoxynucleotide | Chemical
oliguria | Disease
oliguric renal failure	Disease | D009846|D051437
omeprazole | Chemical
OP | Chemical
OP compound | Chemical
opistothonus, sensory and motor dysfunction	Disease | D020258|D020258|D020258
opportunistic infection | Disease
opportunistic infections | Disease
OPs | Chemical
optic atrophy | Disease
oral contraceptive | Chemical
oral contraceptives | Chemical
oral-contraceptive | Chemical
organic mental disorder | Disease
organic mental disorders | Disease
organic personality syndrome | Disease
organic psychotic | Disease
organophosphate | Chemical
organophosphorus (OP) poisons | Chemical
organophosphorus | Chemical
orofacial diskinesia | Disease
orofacial dyskinesia | Disease
orthostatic hypotension | Disease
osteoarthritis | Disease
osteopenia | Disease
osteoporosis | Disease
ototoxic | Disease
ototoxicity | Disease
ouabain | Chemical
ovarian cancer | Disease
overdosage | Disease
overdosages | Disease
overdose | Disease
oxazepam | Chemical
oxcarbazepine | Chemical
oxycodone | Chemical
oxygen | Chemical
oxytocin | Chemical
ozone | Chemical
p-chlorophenylalamine | Chemical
p-choloroaniline | Chemical
p-coumaric acid | Chemical
PAC | Chemical
paclitaxel | Chemical
pain | Disease
pain and visual disturbance in the ipsilateral eye	Disease | D058447|D014786
painful muscle | Disease
pains | Disease
palpebral twitching | Disease
palsy | Disease
PAN | Chemical
pancreatitis | Disease
panic disorder | Disease
panic disorders | Disease
papaverine | Chemical
Papaverine hydrochloride | Chemical
papilledema | Disease
paracetamol | Chemical
paralysis | Disease
paramethasone | Chemical
parasomnias | Disease
paresthesia | Disease
paresthesias | Disease
Parkinson disability | Disease
Parkinson's disease | Disease
parkinsonian | Disease
parkinsonian catalepsy | Disease
parkinsonian symptoms | Disease
parkinsonism | Disease
paroxetine | Chemical
partial loss of quadriceps functions | Disease
patent foramen ovale | Disease
PCOS | Disease
PCP | Chemical
PCP | Disease
PD | Disease
PDTC | Chemical
PEG 400 | Chemical
pegylated IFN alpha-2b | Chemical
pegylated interferon (IFN) alpha-2b | Chemical
pegylated interferon | Chemical
pegylated interferon alpha 2a | Chemical
pelvic tumor | Disease
penicillamine | Chemical
penicillin | Chemical
penicillins | Chemical
penile erection | Disease
penile pain | Disease
pentazocine | Chemical
pentobarbital | Chemical
pentose phosphate | Chemical
pentoxifylline | Chemical
pentoxyifylline | Chemical
pentylenetetrazol | Chemical
pentylenetetrezol | Chemical
peptic ulcer disease | Disease
pergolide | Chemical
perhexiline maleate | Chemical
pericarditis | Disease
peripheral nerve disease | Disease
peripheral nerve toxicity | Disease
peripheral neuropathy | Disease
peripheral neurotoxicity | Disease
peripheral vascular disease | Disease
permanent disability | Disease
petechiae | Disease
pethidine | Chemical
PG | Chemical
PG-9 | Chemical
PGE1 | Chemical
phenacetin | Chemical
phencyclidine | Chemical
phenobarbital | Chemical
phenobarbitone | Chemical
phentolamine | Chemical
phenylacetic acid | Chemical
phenylephrine | Chemical
phenylpropanolamine | Chemical
phenytoin | Chemical
phlebitis | Disease
PHNO | Chemical
phonophobia | Disease
phophorylcreatine | Chemical
phosphate | Chemical
phosphorylcreatine | Chemical
photophobia | Disease
physostigmine | Chemical
Picloxydine | Chemical
picrotoxin | Chemical
pigmentary retinal deposits | Disease
pilocarpine | Chemical
Pimozide | Chemical
Pirarubicin | Chemical
pirenzepine | Chemical
piroxicam | Chemical
pituitary tumors | Disease
plasmacytoma | Disease
platelet aggregation | Disease
platelet aggregations | Disease
platypnea-orthodeoxia | Disease
platypnea-orthodeoxia-like syndrome | Disease
pleural and pericardial effusion	Disease | D010996|D010490
pleural and pericardial effusions	Disease | D010996|D010490
pleural effusions | Disease
Pneumocystis pneumonia | Disease
pneumonia | Disease
pneumonitis | Disease
PO2 | Chemical
poisoning | Disease
polycystic ovary syndrome | Disease
polydipsia | Disease
polyethylene glycol 400 | Chemical
polyneuropathy | Disease
polyuria | Disease
posaconazole | Chemical
postoperative emetic symptoms | Disease
postoperative nausea and vomiting | Disease
postoperative pain | Disease
postsynaptic neuromuscular blockade | Disease
postural hypotension | Disease
potassium | Chemical
Potter-type IIa polycystic kidney | Disease
Potter's facies | Disease
povidone-iodine | Chemical
PPA | Chemical
pralidoxime-2-chloride | Chemical
pravastatin | Chemical
prazosin | Chemical
prednisolone | Chemical
prednisone | Chemical
preeclampsia | Disease
pregnanolone | Chemical
premature atherosclerosis | Disease
premature ventricular contractions | Disease
preterm labor | Disease
priapism | Disease
prilocaine | Chemical
primary cardiomyopathy | Disease
primary pulmonary hypertension | Disease
proanthocyanidins | Chemical
procainamide | Chemical
prochlorperazine | Chemical
progestagen | Chemical
progesterone | Chemical
prolactinoma | Disease
prolactinomas | Disease
prolonged Q-T syndrome | Disease
prolonged QT interval | Disease
propafenone | Chemical
propofol | Chemical
propranolol | Chemical
propylene glycol | Chemical
propylthio- uracil | Chemical
propylthiouracil | Chemical
prostacyclin | Chemical
prostaglandin E1 | Chemical
prostaglandin F2 alpha | Chemical
prostaglandins | Chemical
prostate cancer | Disease
prostatic adenocarcinoma | Disease
proteinuria | Disease
proteinuric injury | Disease
Proteus mirabilis infection | Disease
proximal motor neuropathy | Disease
pruritus | Disease
pseudoacromegaly | Disease
pseudocystic transformation | Disease
pseudolithiasis | Disease
psoriasis | Disease
psychiatric | Disease
psychiatric disorders | Disease
psychomotor agitation | Disease
psychoses | Disease
psychosis | Disease
psychotic | Disease
psychotic symptoms | Disease
psychotic syndromes belonging predominantly to the schizophrenia group | Disease
ptosis on the right upper lid | Disease
PTX | Chemical
PTZ | Chemical
pulmonary and renal insufficiency	Disease | D011665|D051437
pulmonary edema | Disease
pulmonary hypertension | Disease
pulmonary obstruction | Disease
pulmonary tuberculosis | Disease
purine | Chemical
puromycin aminonucleoside | Chemical
purpura | Disease
putaminal hemorrhage | Disease
pyridoxal | Chemical
pyridoxine | Chemical
pyridoxine hydrochloride | Chemical
Pyrrolidine dithiocarbamate | Chemical
Q-T prolongation | Disease
quadriparesis | Disease
quadriplegic | Disease
quaternary ammonium | Chemical
quinine | Chemical
quinolones | Chemical
quinpirole | Chemical
R-(alpha)-methylhistamine | Chemical
rabbit syndrome | Disease
raclopride | Chemical
radiculopathy | Disease
radiocalcium | Chemical
raloxifene | Chemical
raloxifene hydrochloride | Chemical
RAMH | Chemical
ranitidine | Chemical
rapamycin | Chemical
rash | Disease
reduced the supine systolic and diastolic blood pressures | Disease
reduces frontal lobe oxygenation | Disease
reduction in blood pressure | Disease
reduction in glomerular number | Disease
reduction in systolic BP | Disease
reductions in mean arterial blood pressure | Disease
reflex sympathetic dystrophy | Disease
reflux esophagitis | Disease
renal abnormalities | Disease
renal and hepatic dysfunction	Disease | D051437|D008107
renal and hepatic failure	Disease | D058186|D017093
renal and kidney disease | Disease
renal and liver dysfunction	Disease | D051437|D008107
renal and/or hepatic dysfunction	Disease | D007674|D008107
renal artery stenosis | Disease
renal calculi | Disease
renal calculus | Disease
renal cancer | Disease
renal cell carsinom | Disease
renal damage | Disease
renal dysfunction | Disease
renal failure | Disease
renal Fanconi syndrome | Disease
renal injury	Disease | D007674
renal injury | Disease
renal insufficiency | Disease
renal interstitial damage | Disease
renal papillary necrosis | Disease
renal toxicity | Disease
renovascular disease | Disease
renovascular hypertension | Disease
repetitive behaviors | Disease
reserpine | Chemical
respiratory and cardiovascular depression	Disease | D012140|D002318
respiratory arrest | Disease
respiratory depression | Disease
respiratory distress | Disease
respiratory dysfunction | Disease
respiratory failure | Disease
Respiratory insufficiency | Disease
restricted right eye movement | Disease
retention of urine | Disease
retinal detachment | Disease
retinal toxicity | Disease
retinal vasculitis | Disease
retinal vein occlusion | Disease
Rg1 | Chemical
rhabdomyolysis | Disease
rheumatoid arthritis | Disease
rheumatologic disease | Disease
rheumatologic diseases | Disease
rheumatologic disorders | Disease
ribavirin | Chemical
riboflavin | Chemical
ribonucleic acid | Chemical
rifampin | Chemical
right heart failure | Disease
rigidity | Disease
rilmenidine | Chemical
risperidone | Chemical
ritodrine | Chemical
ritonavir | Chemical
rizatriptan | Chemical
Ro 40-5967 | Chemical
Ro4368554 | Chemical
rosuvastatin | Chemical
RPN | Disease
RS | Disease
rudimentary left uterine cornu | Disease
ruptured aneurysms | Disease
S-(-)-ET-126 | Chemical
s-limonene | Chemical
s-perillyl alcohol | Chemical
salbutamol | Chemical
salt	Chemical | D017673
salvianolic acid A | Chemical
saralasin | Chemical
sarin | Chemical
scabies | Disease
Sch | Chemical
SCH 23390 | Chemical
schizophrenia | Disease
schizophrenic | Disease
scopolamine | Chemical
SD | Disease
SE | Disease
secondary hyperalgesia | Disease
seizure | Disease
seizures | Disease
selective serotonin reuptake inhibitor | Chemical
selegiline | Chemical
sensori-motor neuropathy | Disease
sensorineural hearing loss | Disease
sensory loss | Disease
sepsis | Disease
septicaemia | Disease
septicemia | Disease
serositis | Disease
serotonergic antidepressants | Chemical
serotonin | Chemical
serotonin 5-HT2 | Chemical
serotonin reuptake inhibitors | Chemical
sertraline | Chemical
Sestamibi | Chemical
sevoflurane | Chemical
sexual dysfunction | Disease
Sexual dysfunctions | Disease
shock | Disease
shortness of breath | Disease
silver | Chemical
simvastatin | Chemical
simvastatin 10 mg-ezetimibe 40 mg | Chemical
simvastatin hydroxy acid | Chemical
simvastatin-ezetimibe | Chemical
simvastatinezetimibe | Chemical
sinoatrial block | Disease
sinuatrial disease | Disease
sinus arrest | Disease
sinus bradycardia | Disease
sirolimus | Chemical
sirolmus | Chemical
SKF 38393 | Chemical
skin cancers | Disease
sleep disturbance | Disease
sleep disturbances | Disease
sleeping difficulties | Disease
smoking | Chemical
SNHL | Disease
SNP | Chemical
sodium | Chemical
sodium acetylsalicylate | Chemical
sodium bicarbonate | Chemical
Sodium chloride | Chemical
sodium citrate | Chemical
sodium nitroprusside | Chemical
sodium pentothal | Chemical
sodium valproate | Chemical
soman | Chemical
somatic rigidity | Disease
somnolence | Disease
sorafenib | Chemical
sparteine | Chemical
spasm | Disease
spasticity | Disease
spironolactone | Chemical
splenomegaly | Disease
spondyloarthropathy | Disease
Spontaneous recurrent seizures | Disease
sporotrichosis | Disease
squamous carcinoma | Disease
squamous cell carcinoma | Disease
squamous cell esophageal carcinoma | Disease
SR48692 | Chemical
Srl | Chemical
SRS | Disease
SSR103800 | Chemical
SSRI | Chemical
SSRIs | Chemical
statin | Chemical
statins | Chemical
status epilepticus | Disease
steroid | Chemical
steroids | Chemical
Stevens-Johnson syndrome | Disease
Stevens-Johnson syndromes | Disease
stomatitis | Disease
STR | Chemical
streptococcal endophthalmitis | Disease
streptomycin | Chemical
streptozotocin | Chemical
stress fractures | Disease
stress incontinence | Disease
stroke | Disease
strokes | Disease
structural damage to the frontal lobe | Disease
structural lesions of the brain | Disease
strychnine | Chemical
stuporous | Disease
subarachnoid haemorrhage | Disease
subarachnoid hemorrhage | Disease
subpial necrosis | Disease
substance abuse | Disease
succinylcholine | Chemical
sucrose | Chemical
sudden death | Disease
sudden deterioration of renal function | Disease
sugar dependency | Disease
sulfasalazine | Chemical
Sulfonamides | Chemical
sulfonylurea | Chemical
sulfonylureas | Chemical
sulindac | Chemical
sulphasalazine | Chemical
sulpiride | Chemical
sumatriptan | Chemical
sunburn | Disease
sunitinib | Chemical
superoxide | Chemical
suppression of motility | Disease
supraventricular tachyarrhythmia | Disease
supraventricular tachyarrhythmias | Disease
supraventricular tachycardia | Disease
suxamethonium | Chemical
Suxamethonium chloride | Chemical
swelling | Disease
syncope | Disease
synovitis | Disease
systemic lupus erythematosus | Disease
systolic dysfunction | Disease
systolic orthostatic hypotension | Disease
t-butyl bicyclo-orthobenzoate | Chemical
T-cell leukaemia or lymphoma	Disease | D015458|D016399
